funding_total_usd,country_code,city,funding_rounds
1273000.0,NorthAm,Mountain View,1.0
12000000.0,NorthAm,San Francisco,1.0
250000.0,NorthAm,Westlake Village,1.0
3000000.0,AS,Beijing,1.0
186036236.0,EU,Zwijnaarde,6.0
1000000.0,NorthAm,Italy,1.0
1000000.0,NorthAm,Palo Alto,1.0
2518000.0,NorthAm,Madison,4.0
3705137.0,NorthAm,Santa Clara,1.0
510000000.0,NorthAm,Loveland,2.0
3000000.0,NorthAm,San Francisco,2.0
17087500.0,NorthAm,San Francisco,3.0
4439407.0,NorthAm,Paoli,6.0
7618249.0,NorthAm,Portland,3.0
13600000.0,NorthAm,Redwood City,2.0
1737170.0,EU,Lausanne,1.0
450000.0,NorthAm,Lexington,1.0
2810000.0,NorthAm,Overland Park,3.0
14000000.0,NorthAm,Mountain View,2.0
1500000.0,Other,Setiabudi,1.0
422000000.0,SouthAm,São Paulo,1.0
50000.0,NorthAm,Boston,1.0
132500.0,NorthAm,Minnetonka,1.0
4500000.0,NorthAm,Wooster,2.0
661000.0,EU,Härnösand,1.0
20000000.0,NorthAm,Alameda,1.0
1287963.0,EU,Upper Heyford,1.0
200000.0,NorthAm,Providence,1.0
1220000.0,AS,Bangalore,2.0
1200000.0,NorthAm,Huntington Beach,1.0
1663801.11900538,EU,Sheffield,2.0
28364818.0,NorthAm,Knoxville,10.0
1400000.0,NorthAm,Scottsdale,1.0
4545754.0,EU,London,1.0
60000.0,NorthAm,Atlanta,1.0
45000.0,EU,Berlin,1.0
1300000.0,NorthAm,San Francisco,1.0
64640151.5803158,EU,London,2.0
252794435.0,NorthAm,Itasca,3.0
39279460.0,EU,Lausanne,2.0
10000000.0,NorthAm,Berlin,1.0
15000.0,NorthAm,Nashville,1.0
23000000.0,NorthAm,Maynard,2.0
762000.0,NorthAm,Nashville,1.0
2338650.0,NorthAm,Scottsdale,1.0
33500000.0,EU,Cambridge,2.0
255100000.0,NorthAm,Newport Beach,3.0
368000.0,Other,Caparica,1.0
3300.0,NorthAm,Menlo Park,1.0
11017508.0,Other,Col,1.0
17800000.0,NorthAm,San Francisco,4.0
4499999.0,NorthAm,Montréal,1.0
10000000.0,NorthAm,Menlo Park,1.0
2000000.0,NorthAm,Westlake Village,1.0
126385000.0,NorthAm,San Diego,3.0
34000000.0,NorthAm,Pembroke,2.0
16424363.0,EU,Runcorn,3.0
10720178.0,EU,Nottingham,1.0
142367.0,Other,Buenos Aires,3.0
4710960.0,EU,Kongens Lyngby,1.0
5000000.0,EU,Stockholm,2.0
25090000.0,AS,Gurgaon,1.0
25478613.0,NorthAm,Provo,1.0
31040000.0,NorthAm,Montréal,3.0
1270000.0,EU,Stockholm,1.0
25000.0,NorthAm,Pittsburgh,3.0
430000.0,NorthAm,Menlo Park,1.0
300000.0,Other,Tel Aviv-yafo,1.0
13500000.0,NorthAm,Bellevue,2.0
3033472.0,NorthAm,Santa Clara,2.0
200000000.0,NorthAm,Frankfort,1.0
63016244.0,NorthAm,Tucson,4.0
150000.0,NorthAm,Scotts Valley,1.0
3255325.0,NorthAm,Tulsa,2.0
150000.0,NorthAm,Guilford,1.0
2549999.0,NorthAm,Illinois City,2.0
32000000.0,NorthAm,New York,1.0
8500000.0,NorthAm,Overland Park,2.0
8000000.0,NorthAm,Waterloo,1.0
49300000.0,NorthAm,Seattle,3.0
